elevation	d_medit
792.6787931875594	204153
864.0605355510131	193620
938.558412644445	209678
705.5782587591793	221949
787.4154988322795	210552
933.5827278900747	188943
801.6613609121555	222480
1061.1022916850402	203576
836.2673117426303	219916
735.2132971481484	202829
607.804496062779	210901
866.8331644514057	214897
767.0892354314872	203055
1005.7497267520035	189186
873.3920358977515	208153
777.6507371443776	224063
974.8234075782345	204477
1224.3492012824208	206297
993.1425904221965	217122
1125.0446999110338	196170
97.00886806770927	203205
954.0680529068566	226692
854.3034765625789	227755
704.5924507316365	205538
925.4660045076567	228141
859.4395795895636	207263
757.5526154634945	207729
1341.6379452982042	212067
702.4996405953398	213641
390.37687908978813	226859
1292.51612556036	195830
1212.5522111353698	230244
557.5230350510126	213842
515.0570060408877	191306
1358.5413342598365	223564
625.0291146345932	198700
773.3902902333824	208440
394.3596308472155	216975
1178.6484324387093	206270
904.5127107231706	220093
868.9821839834486	220448
849.9938822162839	204468
764.081750478078	207042
975.41841193724	201244
940.2024286041742	205506
817.9083878070628	221008
1050.2393730967894	216292
675.1038769312106	205068
1349.3170252137115	205064
613.5361260522798	230572
1231.6945379036788	206358
825.3310745873803	225463
784.2075559492132	208899
924.6029111504663	201854
495.8186990129233	204765
954.1138037149785	207744
915.1673228075858	214182
606.7078152571547	215071
740.808632292242	209901
506.46661665053733	189135
1136.7665413777884	208639
744.0291282694238	210189
745.1937653834859	204692
1346.2779741990212	223785
1175.148111968062	219396
595.1928381791536	200940
567.1219936523876	207948
569.3339512766113	202794
838.990133697414	198940
454.42510439066285	212949
809.0563265259829	207449
1146.8402246028527	220927
505.9801097679486	220405
411.83528485322984	203157
1356.6245526007272	218710
790.5224478998438	215328
976.528009367018	240586
526.9342994036306	213311
697.2548265131886	211453
856.5067737653108	207445
959.6333402537874	207230
1571.1672638582772	216582
962.0634499268524	214821
372.24091796510015	203539
441.1544337611863	208154
732.7075873680591	202918
1115.1742919161818	198283
601.7906066279422	216424
1046.1403320812392	197176
819.9657223999685	189752
693.4411007088042	211333
468.56429292074336	210580
1003.3545904489229	206705
927.3797411688743	202219
964.3314518769982	224621
641.3804966489272	209812
1125.64546611107	220133
755.2888820008379	204115
590.3817302054116	205313
948.4390996073018	207601
